"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"62","staedtler noris school pencils hb [pack of 50) loose","stabil","bahlo","hch habe mir die bleistifte hauptschlich fr die werkstatt gekauft und hoffte dabei darauf dass ein markenname auch fr mehr qualitt sorgt ich wurde nicht enttuscht meine bisherigen bleistifte hatten die nette angewohnheit dass wenn sie einmal zu boden gefallen waren die mine innerhalb des bleistiftes mehrfach gebrochen war also war der stift immer nur wenige millimeter anspitzbar bis dann die mine wieder eine bruchstelle frei gab nicht diese stifte auch nach xmaligen herunterfallen in der werkstatt leider ein normales geschehen brach die mine noch bei keinem der stifte die dinger scheinen unzerstrbar abgesehen davon liegen sie gut in der hand und durch die auffllige farbgebung finde ich sie auch im werkstattchaos relativ einfach aber auch beim normalen schreibgebrauch sind diese stifte wirklich toll der abrieb der mine ist relativ gering so dass man nicht alle paar stze lang wieder nachspitzen muss nur eine kleinigkeit aber auch erwhnenswert die stifte kamen wunderbar gespitzt an also klasse bleistifte",2018-03-25,5,"verified purchase"
"63","staedtler noris school pencils hb [pack of 50) loose","calidad y precio muy bien","jillian","son los lpices de buena calidad y por la cantidad que viene el precio est muy bien aunque no se han roto ninguno creo que en el empaque que viene tendran que hacerlo ms resistente porque los lpices son delicados",2018-12-15,5,"verified purchase"
"64","staedtler noris school pencils hb [pack of 50) loose","matite ottime ed originali","roberta destino","matite ottime ed originali conferamato da steadtler  italia forse solo il pacco di spedizione era un poco scadente ma le matute erano tutte intatte e poi ad un prezzo del genere io ne comprerei a vagonate dato che nei negozi una sola matita costa da  a ",2018-05-30,4,"verified purchase"
"65","staedtler noris school pencils hb [pack of 50) loose","great value","chris barr","perfect",2023-09-08,5,"verified purchase"
"66","staedtler noris school pencils hb [pack of 50) loose","so many pencils","sammyjeev","lots and lots of pencils very sturdy and will last pretty much forever",2023-11-10,5,"verified purchase"
"67","staedtler noris school pencils hb [pack of 50) loose","estupendo","pili","lpices de toda la vida llegaron en su tiempo en una bolsa y dentro d una caja d amazon con todas las puntas vivasse borran bien y cuando les sacas punta queda afilada y no se rompe lpices para todo el curso de mis hijos y bastante econmicovolver a comprar",2018-10-06,5,"verified purchase"
"68","staedtler noris school pencils hb [pack of 50) loose","de bons crayons  papier","domi","je prfre de loin cette marque de crayons  papier criture visible se gomme bienpetit bmol le bout du crayon la partie rouge marque sur le papier donc il faut faire attention les enfants le passent rgulirement sur les feuilles et cest plus compliqu  gommer",2020-04-30,5,"verified purchase"
"69","staedtler noris school pencils hb [pack of 50) loose","preisleistung passt","amazon kunde","kann noch nicht viel sagen hab sie gestern erst bekommen",2019-09-20,4,"verified purchase"
"70","staedtler noris school pencils hb [pack of 50) loose","ottimo rapporto qualit prezzo ottima qualitoriginali matite staedtler","giovanni","ottimo rapporto qualit prezzo e ottima qualit delle matite se si vuole una matita hbunica pecca per sottolineare alcuni libri e tipi di carta sono preferibili le b",2021-05-30,4,"verified purchase"
"71","staedtler noris school pencils hb [pack of 50) loose","top","client damazon","trs bonne qualit",2020-06-29,4,"verified purchase"
